,sentence_group_id,author,text
0,id26305,EAP,"This process , however , afforded me no means of ascertaining the dimensions of my dungeon ; as I might make its circuit , and return to the point whence I set out , without being aware of the fact ; so perfectly uniform seemed the wall ."
1,id17569,HPL,It never once occurred to me that the fumbling might be a mere mistake .
2,id11008,EAP,"In his left hand was a gold snuff box , from which , as he capered down the hill , cutting all manner of fantastic steps , he took snuff incessantly with an air of the greatest possible self satisfaction ."
3,id27763,MWS,How lovely is spring .
4,id27763,MWS,"As we looked from Windsor Terrace on the sixteen fertile counties spread beneath , speckled by happy cottages and wealthier towns , all looked as in former years , heart cheering and fair ."
5,id12958,HPL,"Finding nothing else , not even gold , the Superintendent abandoned his attempts ; but a perplexed look occasionally steals over his countenance as he sits thinking at his desk ."
6,id22965,MWS,"A youth passed in solitude , my best years spent under your gentle and feminine fosterage , has so refined the groundwork of my character that I can not overcome an intense distaste to the usual brutality exercised on board ship : I have never believed it to be necessary , and when I heard of a mariner equally noted for his kindliness of heart and the respect and obedience paid to him by his crew , I felt myself peculiarly fortunate in being able to secure his services ."
7,id09674,EAP,"The astronomer , perhaps , at this point , took refuge in the suggestion of non luminosity ; and here analogy was suddenly let fall ."
8,id13515,EAP,The surcingle hung in ribands from my body .
9,id19322,EAP,"I knew that you could not say to yourself 'stereotomy ' without being brought to think of atomies , and thus of the theories of Epicurus ; and since , when we discussed this subject not very long ago , I mentioned to you how singularly , yet with how little notice , the vague guesses of that noble Greek had met with confirmation in the late nebular cosmogony , I felt that you could not avoid casting your eyes upward to the great nebula in Orion , and I certainly expected that you would do so ."
10,id00912,MWS,"I confess that neither the structure of languages , nor the code of governments , nor the politics of various states possessed attractions for me ."
11,id16737,MWS,He shall find that I can feel my injuries ; he shall learn to dread my revenge '' .
12,id16737,MWS,A few days after he arrived .
13,id16607,EAP,"Here we barricaded ourselves , and , for the present were secure ."
14,id19764,HPL,Herbert West needed fresh bodies because his life work was the reanimation of the dead .
15,id18886,HPL,"The farm like grounds extended back very deeply up the hill , almost to Wheaton Street ."
16,id17189,EAP,But a glance will show the fallacy of this idea .
17,id12799,MWS,"He had escaped me , and I must commence a destructive and almost endless journey across the mountainous ices of the ocean , amidst cold that few of the inhabitants could long endure and which I , the native of a genial and sunny climate , could not hope to survive ."
